event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
KHM2461,"07 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Russey Keo","Svay Pak","Svay Pak",11.6448,104.875,1,LICADHO,National,"On 7 November 2024, around 30 community members representing 252 families from Kratie's Sambor district staged a protest outside the Ministry of Land Management, Urban Planning and Construction in Svay Pak, Russey Keo (Phnom Penh) to call on authorities to resolve a land dispute with Kasekam Youveakchun Svay Rieng Co. Ltd, which began clearing their land and crops in June 2024.",0,"crowd size=around 30",1738102167,8840
KHM2460,"02 November 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Kuy Ethnic Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Preah Vihear",Chhaeb,"Chhaeb Pir",Chhaeb,13.9107,105.4618,1,"Radio Free Asia",Regional,"On 2 November 2024, about 100 members of Kuy ethnic group staged a protest in Chhaeb, Chhaeb Pir (Preah Vihear) to protect their rice fields and awaited a promised meeting with provincial authorities and representatives of the Chinese company Hengfu Group Sugar Industry to resolve ongoing land disputes. The protesters demanded authorities to urgently address the issue.",0,"crowd size=about 100",1731445543,24
KHM2459,"19 October 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 19 October 2024, about 30 members of NagaWorld staged a protest outside NagaWorld hotel in Tonle Basak, Chamkar Mon (Phnom Penh), demanding the Cambodian government to resolve their labor dispute, which has remained stalled for nearly three years. Wearing white shirts symbolizing union protection, they displayed banners with demands, including the reinstatement of union leaders and an end to exploitative practices.",0,"crowd size=about 30",1731434805,10775
KHM2458,"08 October 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,Kratie,Kracheh,Kracheh,Kracheh,12.4881,106.019,1,"Radio Free Asia",Regional,"On 8 October 2024, over 100 families from Koh Khnhe commune in Kratie province's Sambo district gathered in front of Kratie Provincial Court in Kracheh, Kracheh (Kratie) to support their representatives who were summoned in a land dispute with the Vietnamese company Kamdhenu Ventures Cambodia and Svay Rieng Youth Agriculture Company and to protest against the companies for destroying crops and burning homes, facing allegations of illegally occupying state property and using violence.",0,"crowd size=over 100 families",1729023752,6578
KHM2457,"03 October 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Bunong Ethnic Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Mondul Kiri","Pech Chreada","Bu Sra",Busra,12.5411,107.4314,1,"Radio Free Asia",Regional,"On 3 October 2024, more than 100 Bunong people from four villages in Busra commune staged a protest at Busra commune hall in Busra, Bu Sra, Pech Chreada (Mondul Kiri) to demand the return of burial land and a community worship area, which they claim was encroached upon by traders in collaboration with corrupt authorities to obtain title deeds.",0,"crowd size=more than 100",1729023752,1477
KHM2456,"31 August 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 31 August 2024, about 30 members of NagaWorld staged a protest outside NagaWorld hotel in Tonle Basak, Chamkar Mon (Phnom Penh), demanding a resolution to their labor dispute, which has been ongoing for over three years.",0,"crowd size=about 30",1726009831,10775
KHM2455,"16 August 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 16 August 2024, about 10 members of NagaWorld staged a protest outside NagaWorld hotel in Tonle Basak, Chamkar Mon (Phnom Penh), demanding respect for labor rights, their reinstatement, and the release of the union president. The protesters, holding banners reading 'We need a solution from NagaWorld,' emphasized that their demonstration was about labor rights, not politics.",0,"crowd size=about 10",1724181423,10775
KHM2454,"07 August 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,Battambang,"Aek Phnum","Preaek Norint","Preaek Norint",13.1621,103.2225,1,"Radio Free Asia",Regional,"On 7 August 2024, more than 400 villagers from six villages in Prek Narin commune, Battambang province, staged a protest at Aek Phnum District Hall in Preaek Norint, Aek Phnum (Battambang), demanding an explanation from the district governor regarding the division of their long-held land concessions into two areas. These lands, initially allocated to families for farming after the Khmer Rouge regime, have been under dispute due to recent government demarcation efforts aimed at reclaiming flooded forest areas around Tonle Sap Lake.",0,"crowd size=more than 400",1723576780,2495
KHM2453,"02 August 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Mondul Kiri","Pech Chreada","Bu Sra",Busra,12.5411,107.4314,1,"Camboja News",National,"On 2 August 2024, about 200 indigenous people protested at Pech Chreada district office in Busra, Pech Chreada (Mondul Kiri), demanding expedited issuance of communal land titles after environmental rangers destroyed over 500 rubber trees in their village, claiming the land was within the protected Sre Pok Nam Lear wildlife sanctuary. The protest dissolved when the district governor promised to halt the destruction and compensate for the trees.",0,"crowd size=about 200",1722974440,1477
KHM2451,"19 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 19 July 2024, about 30 members of NagaWorld staged a protest outside NagaWorld hotel in Tonle Basak, Chamkar Mon (Phnom Penh) calling for the casino management and the Ministry of Labor to resolve ongoing labor disputes, enabling workers to earn a living. They displayed an orange cloth with the message 'We need justice' and an image of the scales of justice, symbolizing their appeal to the courts.",0,"crowd size=about 30",1721769305,10775
KHM2452,"15 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,Kandal,"Ta Khmau","Doeum Mien","Doeum Mien",11.4872,104.9425,1,"Radio Free Asia",Regional,"On 15 July 2024, over 150 villagers from Prek Samrong and Achm Kok villages in Kampong Samnang commune, Takhmao city staged a protest in front of Kandal Provincial Hall in Doeum Mien, Krong Ta Khmau (Kandal) to demand the provincial governor to hold a public forum to address the adverse impacts they faced due to the canal rehabilitation project. The villagers also called for the authorities to thoroughly study the project's impact and propose fair solutions.",0,"crowd size=over 150",1721769308,19290
KHM2449,"10 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Buddhist Group (Cambodia); Mother Nature; NPP: National Power Party; Students (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Boeng Keng Kang Ti Bei","Boeng Keng Kang Ti Bei",11.5489,104.9186,1,"Cambodia Daily; LICADHO; Radio Free Asia",National-Regional,"On 10 July 2024, about 150 members of Mother Nature, Students Association, Buddhist monks, Youth, and National Power Party staged a protest at the Caltex Bokor gas station in Boeng Keng Kang Ti Bei, Chamkar Mon (Phnom Penh) to commemorate the 8th anniversary of the assassination of political analyst Kem Ley who was fatally shot on 10 July 2016. The protesters demanded justice for Kem Ley and the release of the detained student movement and environmental activists.",0,"crowd size=about 150",1721157109,27237
KHM2450,"10 July 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Praek Pnov",Samraong,"Samrong Tbong",11.6603,104.8445,1,"Radio Free Asia",Regional,"On 10 July 2024, 20 residents of Samrong Tbong Community in Boeung Ta Mok staged a protest in Samrong Tbong village, Samraong, Prek Pnov (Phnom Penh) against forced eviction and relocation. They demanded authorities to cease threats of forced eviction and demolition of their homes.",0,"crowd size=20",1738102167,1979
KHM2448,"29 June 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 29 June 2024, more than 20 members of NagaWorld staged a protest outside NagaWorld hotel in Tonle Basak, Chamkar Mon (Phnom Penh) calling for the casino management and the Ministry of Labor to resolve ongoing labor disputes, enabling workers to earn a living.",0,"crowd size=more than 20",1720552465,10775
KHM2447,"27 June 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Russey Keo","Svay Pak","Svay Pak",11.6448,104.875,1,"Radio Free Asia",Regional,"On 27 June 2024, more than 100 land dispute victims from Kandok commune, Kandal Stung district, and Kampong Samnang commune, Takhmao city staged a protest outside the Ministry of Land Management, Urban Planning and Construction in Svay Pak, Russey Keo (Phnom Penh) to demand the Ministry to resolve their land issues. The National Forces Party had submitted a letter to Prime Minister Hun Manet the previous day, requesting intervention and compensation for 453 families affected by the construction of a new airport in Kandal Steung district. Rong Chhun, an adviser to the National Power Party, emphasized the need for government attention and appropriate compensation.",0,"crowd size=more than 100",1738102167,8840
KHM2441,"20 June 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Buddhist Group (Cambodia); Mother Nature",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 20 June 2024, more than 20 members of Buddhist monks and Mother Nature, dressed as ghosts, staged a protest outside the Ministry of Environment in Tonle Basak, Chamkar Mon (Phnom Penh). They demanded the designation of Koh Kong Krao as a marine national park, citing the ministry's persistent failure to protect the area despite promises made by the Minister.",0,"crowd size=more than 20",1721760343,10775
KHM2440,"19 June 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,LICADHO,National,"On 19 June 2024, about 60 community members from Kratie province staged a protest outside the Ministry of Interior in Tonle Basak, Chamkar Mon (Phnom Penh) to demand the government halt the land clearing under an Economic Land Concession (ELC) granted to a Singaporean company in 2009. The protesters also submitted petitions to the Ministry of Interior, Prime Minister's Cabinet, and the Land Management Ministry.",0,"crowd size=about 60",1719352798,10775
KHM2439,"16 June 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","NPP: National Power Party",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Tuol Kouk","Tuek Lak Ti Muoy","Tuek Lak Ti Muoy",11.5694,104.8949,1,"Radio Free Asia",Regional,"On 16 June 2024, about 300 activists, members of the National Power Party (NPP), and detainees' families from various provinces gathered outside the party headquarters in Tuek Lak Ti Muoy, Tuol Kouk (Phnom Penh) to demand civil liberties and the release of political prisoners. The protesters holding banners and photos of imprisoned individuals called for the release of the National Power Party President and other detained activists and leaders.",0,"crowd size=about 300",1719352798,40037
KHM2446,"14 June 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Mean Chey","Boeng Tumpun","Boeng Tumpun",11.5218,104.911,1,"Camboja News",National,"On 14 June 2024, 70 members of union federations and unions staged a protest outside the Center for Alliance of Labor and Human Rights (CENTRAL) office in Boeng Tumpun, Mean Chey (Phnom Penh), accusing the organization of publishing a report that they claim unfairly restricted union representatives' freedom of association. The protesters submitted a petition to CENTRAL and the Ministry of Interior, denouncing the report as baseless and not reflective of the true conditions faced by unions in Cambodia.",0,"crowd size=70",1719352798,41989
KHM2445,"12 June 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Kampong Speu","Chbar Mon","Svay Kravan","Svay Kravan",11.457,104.5225,1,"Radio Free Asia",Regional,"On 12 June 2024, 25 Shengbo Garment factory workers protested outside Kampong Speu Provincial Court in Svay Kravan, Chbar Mon (Kampong Speu), demanding the reinstatement of their union leader, Roeun Kolap, who they say was unfairly dismissed for forming a union in June 2023. The protest coincided with a postponed court hearing for Kolap's case.",0,"crowd size=25",1719352799,7240
KHM2444,"29 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","CATU: Cambodian Alliance of Trade Unions; Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Kampong Speu","Chbar Mon","Svay Kravan","Svay Kravan",11.457,104.5225,1,"Camboja News; LICADHO",National,"On 29 May 2024, around 30 to 40 members of the Cambodian Confederation of Trade Unions (CATU) staged a protest outside Kampong Speu Provincial Court in Svay Kravan, Chbar Mon (Kampong Speu) to demand the release of the union leader at Wing Star Shoes Co Ltd, who was arrested in February and charged with conspiracy to commit theft related to an alleged incident from two years prior.",0,"crowd size=around 30 to 40",1721760343,7240
KHM2443,"27 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 27 May 2024, more than 20 young people cycled from Boeung Ta Mok (Prek Pnov, Phnom Penh) to the National Assembly in Tonle Basak, Chamkar Mon (Phnom Penh) to petition for a fair resolution to the forced evictions impacting their community. They demanded the 7th legislature to actively represent the people and resolve these issues, particularly focusing on land and environmental injustices.",0,"crowd size=more than 20",1719352801,10775
KHM2442,"24 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Chamkar Mon","Tonle Basak","Tonle Basak",11.5501,104.9301,1,"Radio Free Asia",Regional,"On 24 May 2024, about 20 members of NagaWorld staged a protest outside NagaWorld hotel in Tonle Basak, Chamkar Mon (Phnom Penh) calling for the casino management and the Ministry of Labor to resolve ongoing labor disputes, enabling workers to earn a living.",0,"crowd size=about 20",1719352801,10775
KHM2438,"21 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Bunong Ethnic Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Mondul Kiri","Kaoh Nheaek","Sokh Sant","Sokh Sant",13.0766,107.0323,1,"Radio Free Asia",Regional,"On 21 May 2024, more than 200 members of Bunong ethnic group from five villages in Mondulkiri province staged a protest at the community forest in Sre Thom village, Sokh Sant, Kaoh Nheaek (Mondul Kiri) against the authorities' complete confiscation of their farmland and land. They demanded that authorities assess the cultivated land's actual condition and return it to the community for present and future sustenance.",0,"crowd size=more than 200",1716919059,2501
KHM2437,"20 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (India)","Labor Group (India); Telugu Ethnic Group (India)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Preah Sihanouk","Preah Sihanouk",Buon,Sihanoukville,10.6093,103.5295,1,"Times of India",International,"On 20 May 2024, around 300 Telugu youths from Visakhapatnam, India staged a protest in Sihanoukville, Buon (Preah Sihanouk) against forced work in cybercrime syndicates after a trafficking racket involving local agents was busted. They were detained by police officers following the protest, prompting efforts for their safe return by local authorities and ministries. The youths were promised jobs but coerced into cybercrimes upon arrival.",0,"crowd size=around 300",1716919059,12260
KHM2436,"16 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Doun Penh","Srah Chak","Srah Chak",11.5761,104.9143,1,"Radio Free Asia",Regional,"On 16 May 2024, nearly 50 residents of Damnak Sangke village protested in front of Phnom Penh City Hall in Srah Chak, Doun Penh (Phnom Penh), demanding resolution to a land dispute involving 2 hectares in Khan Dangkor. They held banners highlighting the critical importance of the land to their lives and called for legal title deeds, having only soft title deeds recognized by authorities.",0,"crowd size=nearly 50",1719352802,39154
KHM2435,"10 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Praek Pnov",Samraong,"Samrong Tbong",11.6603,104.8445,1,LICADHO,National,"On 10 May 2024, about 60 Samrong Tbong community members residing near Boeng Tamok lake attempted to march to the Prek Pnov district hall but police and district security guards obstructed in Samrong Tbong, Praek Pnov (Phnom Penh), preventing the residents from proceeding to the Praek Pnov district hall to discuss eviction orders.",0,"crowd size=about 60",1738102167,1979
KHM2434,"06 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)",,Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Doun Penh","Srah Chak","Srah Chak",11.5761,104.9143,1,"Camboja News",National,"On 6 May 2024, about 80 residents from the Daun Ov community in Choeung-Ek commune, Dangkor district staged a protest outside Phnom Penh City Hall in Srah Chak, Doun Penh (Phnom Penh) to demand land titles amidst threats from a company dumping sand into a nearby lake since 2020. The villagers sought resolution after years of unsuccessful attempts, including numerous petitions and direct visits to government agencies.",0,"crowd size=about 80",1719352803,39154
KHM2433,"01 May 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Tuol Kouk","Tuek Lak Ti Muoy","Tuek Lak Ti Muoy",11.5694,104.8949,1,"Camboja News; Radio Free Asia",National-Regional,"On 1 May 2024, International Workers' Day, nearly 1,000 workers and members of Cambodian Labor Confederation (CLC) marched from National Assembly (Chamkar Mon, Phnom Penh) to the Ministry of Labour and Vocational Training in Tuek Lak Ti Muoy, Tuol Kouk (Phnom Penh), demanding higher wages for garment workers and the restoration of union rights. They also called on the government to address their concerns and improve working conditions.",0,"crowd size=nearly 1,000",1715131159,40037
KHM2432,"30 April 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Kampong Speu","Chbar Mon","Svay Kravan","Svay Kravan",11.457,104.5225,1,"Camboja News",National,"On 30 April 2024, Members of the Cambodian Alliance of Trade Unions (CATU) gathered in front of Kampong Speu Provincial Court in Svay Kravan, Chbar Mon (Kampong Speu), demanding the dropping of criminal charges against the president of Wing Star Shoes' union.",0,"crowd size=no report",1715131159,7240
KHM2429,"26 April 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Doun Penh","Voat Phnum","Voat Phnum",11.5742,104.923,1,"Radio Free Asia",Regional,"On 26 April 2024, about 60 members of NagaWorld staged a protest outside gathered in front of the Supreme Court in Voat Phnum, Doun Penh (Phnom Penh) to petition the Supreme Court to drop charges and secure the release of their leader, ahead of the court's ruling on May 3.",0,"crowd size=about 60",1714518469,24036
KHM2427,"25 April 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Banteay Meanchey","Paoy Paet",Nimitt,Nimitt,13.6957,102.6553,1,"Radio Free Asia",Regional,"On 25 April 2024, about 400 workers at ML INTIMATE APPAREL staged a protest outside the factory in Nimitt, Paoy Paet (Banteay Meanchey) to demand payment from the factory owner due to the irregular wage payments and past violations of workers' rights by factory owners.",0,"crowd size=about 400",1714518469,662
KHM2428,"25 April 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Cambodia)","Labor Group (Cambodia)",Protesters,,,,"Protesters only",,116,"Southeast Asia",Cambodia,"Phnom Penh","Tuol Kouk","Tuek Lak Ti Muoy","Tuek Lak Ti Muoy",11.5694,104.8949,1,"Radio Free Asia",Regional,"On 25 April 2024, about 50 employees of Cambodiana Hotel and Sofitel Phnom Penh staged a protest and submitted a letter to the Minister of Labor at the Ministry of Labour and Vocational Training in Tuek Lak Ti Muoy, Tuol Kouk (Phnom Penh) to demand intervention from both employers and the Ministry of Labor to address employment issues.",0,"crowd size=about 50",1715125702,40037
